CRN,Term,Course,Section Title,Instructor,Actual Enrollment,Campus Code,Schedule Type,Department,COURSELEVL,XLST
21062,202420,AGSC 3302 02Z,Welding and Metal Work Lab,"Dickison, James W",6,M,LAB,AG,UG,
20584,202420,ASCI 3443 02Z,Genetics of Livestock,"Langdon, John M",8,M,LAB,AG,UG,
22198,202420,FSCI 5447 020,Intro to Processed Meats,"Kellermeier, John ",2,M,LEC,AG,GR,BN
22200,202420,FSCI 5447 02Z,Intro to Processed Meats,"Kellermeier, John ",2,M,LAB,AG,GR,BK
20254,202420,CHEM 1105 D4Z,Elements of Chem Lab,"King, Steven W",8,DE,LAB,BCHM,UG,
22173,202420,CHEM 3451 02Z,Organic Chemistry Lab,"Carr, Jason A",9,M,LAB,BCHM,UG,
22178,202420,CHEM 3451 03Z,Organic Chemistry Lab,"Carr, Jason A",7,M,LAB,BCHM,UG,
20586,202420,CHEM 3462 010,Phys Chem-Thermodyn & Kinetics,"Smith, Gregory J",6,M,LEC,BCHM,UG,
20587,202420,CHEM 3462 02Z,Phys Chem-Thermodyn & Kin Lab,"Smith, Gregory J",6,M,LAB,BCHM,UG,
20305,202420,CHEM 4301 010,Chemistry Capstone,"Osborne, Edith M",5,M,LEC,BCHM,UG,
20306,202420,CHEM 4332 010,Intermed Metabolism,"Osborne, Edith M",8,M,LEC,BCHM,UG,
20432,202420,CHEM 4421 010,Instrumental Analysis,"Dharmarajan, Shanmugapriya ",5,M,LEC,BCHM,UG,
20433,202420,CHEM 4421 02Z,Instrumental Analysis,"Dharmarajan, Shanmugapriya ",5,M,LAB,BCHM,UG,
20318,202420,BIOL 1106 04Z,Principles of Biology I Lab,"Heimann, Connie A",9,M,LAB,BIO,UG,
20191,202420,BIOL 1413 02Z,General Zoology-LAB,"Fiedler, Edson D",9,M,LAB,BIO,UG,
20192,202420,BIOL 1413 03Z,General Zoology-LAB,"Fiedler, Edson D",4,M,LAB,BIO,UG,
20337,202420,BIOL 2124 03Z,Human Physiology Lab,"Adkins, Christie L",9,M,LAB,BIO,UG,
23123,202420,BIOL 2420 03Z,Microbiology Non-Sci Majors,"Jones, Hannah L",4,M,LAB,BIO,UG,
20572,202420,BIOL 4412 010,Biological Oceanography,"Strenth, Ned E",5,M,LEC,BIO,UG,
20573,202420,BIOL 4412 01Z,Biological Oceanography-LAB,"Strenth, Ned E",5,M,LAB,BIO,UG,
22683,202420,BIOL 4435 010,Plant Taxonomy,"Maya Lastra, Carlos A",8,M,LEC,BIO,UG,BQ
22685,202420,BIOL 4435 01Z,Plant Taxonomy - lab,"Maya Lastra, Carlos A",8,M,LAB,BIO,UG,BS
20148,202420,BIOL 4441 010,Parasitology,"Negovetich, Nicholas J",9,M,LEC,BIO,UG,CD
20149,202420,BIOL 4441 01Z,Parasitology-LAB,"Negovetich, Nicholas J",9,M,LAB,BIO,UG,CE
22684,202420,BIOL 5435 010,Plant Taxonomy,"Maya Lastra, Carlos A",1,M,LEC,BIO,GR,
22686,202420,BIOL 5435 01Z,Plant Taxonomy - LAB,"Maya Lastra, Carlos A",1,M,LAB,BIO,GR,
22665,202420,BIOL 5441 010,Parasitology,"Negovetich, Nicholas J",1,M,LEC,BIO,GR,CD
22666,202420,BIOL 5441 01Z,Parasitology - LAB,"Negovetich, Nicholas J",1,M,LAB,BIO,GR,CE
22682,202420,BIOL 6381 010,Zoonotic Diseases,"Crabill, Emerson P",4,M,LEC,BIO,GR,CA
22285,202420,CS 4340 010,Offensive Security Techniques,"Krishnan, Sundar ",9,M,LEC,CS,UG,
22286,202420,CS 4371 010,Computer Game Development II,"Wilde, Grant A",6,M,LEC,CS,UG,
23053,202420,CS 6317 F10,Software Security,"Dogdu, Erdogan ",3,M,LEC,CS,GR,TA
22133,202420,CENG 3341 010,Geotechnical Engineering,"Kitch, William A",8,M,LEC,ENGR,UG,
22138,202420,CENG 3341 01Z,Geotechnical Engineering Lab,"Kitch, William A",8,M,LAB,ENGR,UG,
22171,202420,CENG 3352 010,Hydrology and Hydraulics,"Pinon Villarreal, Aldo R",2,M,LEC,ENGR,UG,
22174,202420,CENG 3352 01Z,Hydrology and Hydraulics,"Pinon Villarreal, Aldo R",2,M,LAB,ENGR,UG,
22142,202420,CENG 3353 010,Haz. Waste & Site Remediation,"Kum, Soyoon ",3,M,LEC,ENGR,UG,
21967,202420,CENG 3362 010,Structural Analysis II,"Battistini, Anthony D",7,M,LEC,ENGR,UG,
21931,202420,CENG 4311 010,Transportation Design,"Apronti, Dick T",3,M,LEC,ENGR,UG,
22143,202420,CENG 4351 010,Water/Wastewater Treatment Des,"Kum, Soyoon ",2,M,LEC,ENGR,UG,
21970,202420,CENG 4363 010,Steel Design,"Battistini, Anthony D",9,M,LEC,ENGR,UG,
21989,202420,CENG 4366 010,Bridge Design,"Battistini, Anthony D",3,M,LEC,ENGR,UG,
22164,202420,CENG 4380 010,Civil Engineering Sr Design,"Pinon Villarreal, Aldo R",7,M,LEC,ENGR,UG,
22169,202420,CENG 4380 01Z,Civil Engineering Sr Design,"Pinon Villarreal, Aldo R",7,M,LAB,ENGR,UG,
22035,202420,ENGR 3404 02Z,Intro to Fluid Mechanics Lab,"Pinon Villarreal, Aldo R",7,M,LAB,ENGR,UG,
22111,202420,MENG 3351 01Z,Measurement & Instrumentation,"Hamidi, Armita ",8,M,LAB,ENGR,UG,
22114,202420,MENG 3351 02Z,Measurement & Instrumentation,"Haque, Mohammad S",6,M,LAB,ENGR,UG,
21925,202420,MENG 3411 02Z,Heat Transfer Lab,"Akcayoglu, Azize ",2,M,LAB,ENGR,UG,
22082,202420,MENG 4352 D10,Dynamical Systems,"Hamidi, Armita ",9,DE,LEC,ENGR,UG,
20509,202420,MATH 1314 DC1,College Algebra,"Humphrey, Travis W",2,DCD,LEC,MATH,UG,
21643,202420,MATH 1314 DC2,College Algebra,"Jaynes, Codi B",9,DCD,LEC,MATH,UG,
21692,202420,MATH 1314 DC3,College Algebra,"Jaynes, Codi B",6,DCD,LEC,MATH,UG,
21642,202420,MATH 2412 DC2,Precalculus,"Huckaby, David A",6,DCD,LEC,MATH,UG,
22153,202420,MATH 3310 010,Intro to Problem Solving,"Bailey, Dionne T",4,M,LEC,MATH,UG,
22166,202420,MATH 4331 010,Analysis,"Pfeil, Simon D",8,M,LEC,MATH,UG,
22177,202420,MATH 6305 D10,Foundations of Math for Educ,"Taylor, Susan A",2,DE,LEC,MATH,GR,
22168,202420,MATH NONN DF1,Math Non-Course Base,"Humphrey, Travis W",9,DE,LEC,MATH,UG,
20566,202420,GEOL 3102 01Z,Field Methods in Geology,"Satterfield, Joseph I",9,M,LAB,PHGS,UG,
22393,202420,GEOL 3310 010,Geochemistry,"Shields, Elizabeth C",8,M,LEC,PHGS,UG,
20417,202420,PHYS 1102 03Z,General Physics II Laboratory,"Allen, Charles C",5,M,LAB,PHGS,UG,
20240,202420,PHYS 2126 02Z,Fundamentals of Physics II Lab,"Holik, Eddie F",9,M,LAB,PHGS,UG,
21213,202420,PHYS 3251 01Z,Advanced Physics Lab I,"Carrell, Kenneth W",4,M,LAB,PHGS,UG,
22414,202420,PHYS 3332 010,Thermal & StatisPhysics,"Holik, Eddie F",6,M,LEC,PHGS,UG,
22424,202420,PHYS 4363 010,Quantum Mechanics,"Williams, Scott C",9,M,LEC,PHGS,UG,